Estacao,Date,Data2,Day,Hora,Precipitacao,total_precip,TempMaxima,TempMinima,min temp,Temp Comp Media,Umidade Relativa Media
83743,01/05/2002,,,0,,0,30.8,,,26.36,82
83743,01/05/2002,,,1200,0,,,25,,,
83743,02/05/2002,,,0,,0,27.2,,,24.2,85.25
83743,02/05/2002,,,1200,8.1,,,22.5,,,
83743,03/05/2002,,,0,,8.1,32.4,,,26.24,67
83743,03/05/2002,,,1200,2,,,22.2,,,
83743,04/05/2002,,,0,,2,28.9,,,25.42,74
83743,04/05/2002,,,1200,0,,,23,,,
83743,05/05/2002,,,0,,0,29.1,,,25.58,80.25
83743,05/05/2002,,,1200,0,,,24.1,,,
83743,06/05/2002,,,0,,0,30.5,,,26.32,83
83743,06/05/2002,,,1200,0,,,24.5,,,
83743,07/05/2002,,,0,,0,30.4,,,26.22,80.75
83743,07/05/2002,,,1200,1,,,24.5,,,
83743,08/05/2002,,,0,,1,32,,,26.66,80.25
83743,08/05/2002,,,1200,0,,,24.5,,,
83743,09/05/2002,,,0,,0,29.7,,,24.9,83.5
83743,09/05/2002,,,1200,1.3,,,23,,,
83743,10/05/2002,,,0,,1.3,28.6,,,24.84,81.75
83743,10/05/2002,,,1200,29.2,,,22.2,,,
83743,11/05/2002,,,0,,29.2,29,,,25.06,82.25
83743,11/05/2002,,,1200,0,,,23.2,,,
83743,12/05/2002,,,0,,0,29.4,,,25.62,77.75
83743,12/05/2002,,,1200,0,,,23.1,,,
83743,13/05/2002,,,0,,0,31.6,,,26.64,75
83743,13/05/2002,,,1200,0,,,23.6,,,
83743,14/05/2002,,,0,,0,31.6,,,26.02,72
83743,14/05/2002,,,1200,0,,,23.7,,,
83743,15/05/2002,,,0,,0,32.5,,,27.42,69.5
83743,15/05/2002,,,1200,0,,,23.1,,,
83743,16/05/2002,,,0,,0,34.8,,,28.84,57
83743,16/05/2002,,,1200,0,,,24.6,,,
83743,17/05/2002,,,0,,0,30.3,,,26.48,69.75
83743,17/05/2002,,,1200,0,,,25.2,,,
83743,18/05/2002,,,0,,0,30.5,,,25.68,75.75
83743,18/05/2002,,,1200,0,,,22.6,,,
83743,19/05/2002,,,0,,0,32.4,,,26.64,72.25
83743,19/05/2002,,,1200,0,,,23.4,,,
83743,20/05/2002,,,0,,0,31.5,,,26.14,71
83743,20/05/2002,,,1200,0,,,22.4,,,
83743,21/05/2002,,,0,,0,32.1,,,26.54,70.25
83743,21/05/2002,,,1200,0,,,24.4,,,
83743,22/05/2002,,,0,,0,25.2,,,21.06,91
83743,22/05/2002,,,1200,26.3,,,19.9,,,
83743,23/05/2002,,,0,,26.3,24,,,20.62,84.75
83743,23/05/2002,,,1200,30.7,,,19.4,,,
83743,24/05/2002,,,0,,30.7,25.1,,,21.38,74
83743,24/05/2002,,,1200,0,,,18.8,,,
83743,25/05/2002,,,0,,0,23.5,,,20.52,84.25
83743,25/05/2002,,,1200,1.2,,,18.6,,,
83743,26/05/2002,,,0,,1.2,25.6,,,21.22,70.75
83743,26/05/2002,,,1200,0,,,17.5,,,
83743,27/05/2002,,,0,,0,26.7,,,22.24,70.75
83743,27/05/2002,,,1200,0,,,18.5,,,
83743,28/05/2002,,,0,,0,27.8,,,23.4,76.5
83743,28/05/2002,,,1200,0,,,20,,,
83743,29/05/2002,,,0,,0,29.3,,,24.08,75
83743,29/05/2002,,,1200,0,,,20.7,,,
83743,30/05/2002,,,0,,0,30,,,24.02,75
83743,30/05/2002,,,1200,0,,,20.7,,,
83743,31/05/2002,,,0,,0,30.7,,,25.22,69
83743,31/05/2002,,,1200,0,,,21.3,,,
83743,01/06/2002,,,0,,0,27.8,,,23.96,79.75
83743,01/06/2002,,,1200,0,,,22.1,,,
83743,02/06/2002,,,0,,0,28.5,,,23.88,78.5
83743,02/06/2002,,,1200,0,,,21.5,,,
83743,03/06/2002,,,0,,0,32.3,,,25.74,65.5
83743,03/06/2002,,,1200,0,,,21.3,,,
83743,04/06/2002,,,0,,0,29.7,,,24.86,72.25
83743,04/06/2002,,,1200,0,,,21.6,,,
83743,05/06/2002,,,0,,0,32.4,,,26,72
83743,05/06/2002,,,1200,0,,,22,,,
83743,06/06/2002,,,0,,0,32,,,26.32,69.25
83743,06/06/2002,,,1200,0,,,22.8,,,
83743,07/06/2002,,,0,,0,33.3,,,26.64,63.5
83743,07/06/2002,,,1200,0,,,22.4,,,
83743,08/06/2002,,,0,,0,33,,,26.88,68
83743,08/06/2002,,,1200,0,,,23.2,,,
