Estacao,Date,Data2,Day,Hora,precip,TempMaxima,Temp Comp Media,Umidade Relativa Media,total mosquitoes collected
83743,11/11/2006,11/11/2006,0,0,14,24.1,19.78,81.75,81
83743,12/11/2006,12/11/2006,0,0,0.6,25.7,21.12,78.75,27
83743,13/11/2006,13/11/2006,0,0,0.5,25.6,22.16,80.5,41
83743,14/11/2006,14/11/2006,0,0,12.8,23.5,22.08,87,7
83743,16/11/2006,16/11/2006,0,0,0,36.7,28.18,64.5,82
83743,17/11/2006,17/11/2006,0,0,0,37.2,30.16,60,37
83743,18/11/2006,18/11/2006,0,0,0,38.1,29.48,68.75,47
83743,19/11/2006,19/11/2006,0,0,1.5,31.3,26.7,70.5,19
83743,20/11/2006,20/11/2006,0,0,4.2,30.5,26.04,73.75,37
83743,21/11/2006,21/11/2006,0,0,0.7,27,24.82,72.75,23
83743,22/11/2006,22/11/2006,0,0,0.6,30.4,25.56,68.25,89
83743,23/11/2006,23/11/2006,0,0,0,28,25.28,76.25,52
